diff_ht(cm),diff_age(y),diff_rank,diff_hand,surface_hard,target
13,-8,-122,0,1,1
-2,-3,5,0,1,0
3,-3,53,-1,0,1
-13,-10,-913,0,1,1
-2,0,-24,0,1,0
6,-5,41,-1,1,0
13,2,30,0,1,0
-5,-3,-11,1,1,0
5,-5,84,0,0,0
8,4,-11,0,0,0
-2,-8,69,-1,0,1
-13,-2,5,0,1,0
8,-12,7,0,1,0
0,-6,32,-1,1,0
-3,-6,-30,0,1,0
13,-1,2,0,1,1
-5,-1,38,0,0,0
6,-3,-49,0,0,1
3,-11,-33,1,0,1
0,-7,106,0,1,0
-6,12,32,0,1,1
10,-5,5,0,1,0
10,1,-1,0,1,0
0,0,-14,0,1,0
-3,-4,59,1,0,0
8,-3,-111,0,1,1
0,-1,6,0,0,1
-10,-5,105,0,1,1
-5,-2,38,0,1,0
-8,4,2,0,1,0
6,-1,6,-1,0,0
5,5,2,1,0,0
5,1,-7,0,0,0
-5,-3,-29,0,1,1
5,-11,-102,0,1,1
-3,4,-35,0,1,1
8,-4,-2,0,1,1
8,-4,-262,0,1,1
0,6,-32,1,1,1
0,0,-60,0,0,1
3,-10,-190,0,1,1
10,-1,19,0,0,1
5,-4,99,0,0,0
-2,2,30,0,1,1
-8,2,-28,0,1,1
-3,-3,30,1,0,1
3,7,11,-1,0,1
7,-1,-39,0,0,1
-8,-1,-4,0,1,1
-2,2,52,0,0,1
0,-2,19,0,0,0
8,-1,28,-1,1,0
-10,5,9,0,1,0
8,0,136,-1,1,0
0,7,57,0,0,1
5,15,66,0,1,0
10,7,-49,0,0,1
5,2,-38,-1,0,1
0,-5,-32,0,1,1
-10,-3,54,0,1,1
-10,-9,189,0,1,0
0,2,-41,-1,1,1
5,1,-6,0,1,0
-13,-1,199,0,0,0
3,-9,-32,0,0,0
8,-2,-3,-1,1,1
-2,1,29,0,1,0
8,-2,28,0,1,0
2,-1,-29,0,1,1
-5,-2,-16,0,0,0
10,9,76,0,0,1
5,-8,-128,1,0,1
13,4,-50,0,1,0
-3,1,-46,-1,1,1
-10,-5,-15,0,0,1
-2,0,34,0,0,0
-8,5,23,0,0,1
-3,-6,31,0,1,0
11,-6,20,0,0,0
3,-8,-25,0,1,0
15,-11,-39,0,0,1
2,4,-25,0,1,1
8,-8,-14,0,1,1
5,9,-2,0,1,1
-5,3,-37,0,1,0
-3,-7,-11,1,0,0
-23,-1,250,0,0,1
6,-9,80,0,1,0
-3,-6,-3,0,1,0
13,-6,-28,0,1,1
2,4,-22,0,0,1
0,10,20,0,1,1
-8,13,-31,0,1,1
8,-1,9,1,1,0
13,1,58,0,1,0
-2,4,73,0,1,0
0,3,-77,0,0,0
-8,-7,-21,0,1,1
2,6,-47,1,0,1
12,2,-256,0,0,0
-5,-8,-2,0,1,1
0,-7,-31,0,1,1
11,3,-70,0,1,1
-2,3,-22,0,0,0
-8,2,28,-1,0,0
15,-8,-84,0,1,1
3,10,-40,0,0,1
0,-9,-421,1,0,0
-8,5,-81,0,1,1
-7,10,-36,0,1,1
6,-1,-23,0,0,0
0,2,-12,0,0,1
-11,5,3,0,1,0
5,8,2,0,1,0
-5,-2,58,0,1,1
5,6,-75,0,1,1
2,2,8,0,1,1
-5,11,-11,0,1,1
7,7,-28,0,0,0
-10,-3,26,0,1,0
10,2,-53,0,1,1
-7,-7,28,0,0,1
3,-5,10,0,0,1
11,-1,-42,0,1,1
5,3,-41,0,1,1
5,11,74,-1,1,0
13,-10,31,0,1,1
-7,-2,-10,0,0,0
18,-2,-46,1,1,1
0,4,22,0,1,1
2,-8,-22,0,1,1
3,6,30,0,1,1
0,-2,12,0,0,0
-3,11,33,-1,0,0
-20,6,175,0,0,1
5,5,-27,0,1,1
0,0,23,0,0,0
13,-7,-37,0,0,1
-8,-1,-18,0,1,0
-18,-7,-123,0,1,0
0,0,-69,0,0,1
-13,-2,13,0,0,0
-5,4,44,0,1,1
5,7,-8,0,0,1
-8,4,42,-1,1,1
7,8,171,0,1,0
3,-8,92,0,1,0
3,-1,-3,-1,1,0
5,5,-59,0,0,0
-8,4,86,1,0,1
3,0,44,0,0,1
2,-4,-311,1,1,1
11,2,-57,0,0,1
-5,1,57,0,1,0
5,11,36,1,1,0
5,-7,54,-1,0,1
-7,11,74,0,0,1
0,16,8,1,0,0
-10,-4,40,0,1,1
15,-3,-60,0,1,1
10,-4,36,1,1,1
21,-6,61,0,1,1
13,-3,87,0,0,0
-5,-2,-1,0,1,0
-3,0,29,0,1,0
0,4,-89,-1,1,1
-13,-4,58,0,1,0
-5,2,-52,-1,0,0
-8,1,5,0,1,0
0,7,-106,0,1,1
5,-1,-37,0,0,1
2,2,-55,0,1,1
16,5,-205,0,1,1
-8,6,-22,0,0,1
0,1,-23,1,1,0
-15,-5,66,-1,0,1
5,2,1,0,1,1
10,6,1,0,1,0
-3,2,-22,0,0,0
-8,2,-7,1,1,0
-13,-2,127,-1,0,0
-8,7,92,1,1,0
0,11,45,0,0,0
-18,4,72,0,0,0
13,-1,-101,0,0,0
-2,6,54,0,0,0
8,-8,-46,-1,0,0
3,0,-2,0,1,0
-2,-11,-34,0,0,1
-5,-4,-30,0,1,1
-8,-2,63,0,1,1
7,2,-113,1,0,1
13,-6,-311,0,1,1
-13,-7,-2,0,1,1
-6,3,49,0,0,0
-3,1,3,1,1,1
2,2,45,0,1,1
13,8,-66,0,1,1
8,5,-58,0,0,1
5,-3,-36,1,0,1
2,-2,-57,0,1,0
-5,-5,34,-1,0,0
0,-1,37,0,0,0
0,-3,25,0,1,1
-8,-1,-4,0,0,1
13,-8,-64,0,1,1
0,0,61,0,1,0
-5,-1,-34,-1,1,1
13,0,-25,0,1,0
-5,-12,9,0,0,1
-8,-5,-69,0,0,0
7,-2,-40,1,0,0
3,4,-3,0,1,1
0,5,15,0,1,0
13,-8,-69,0,1,1
6,-5,48,-1,1,1
-5,-9,2,0,1,0
7,-10,36,0,1,0
7,4,-34,0,1,0
-3,4,-53,1,0,0
2,3,-10,0,0,0
0,3,-21,0,0,0
-8,1,-104,0,0,1
5,3,-31,0,1,1
-10,16,-137,0,0,0
3,3,-90,1,1,1
5,1,-5,0,1,1
5,7,-10,0,1,1
-13,-2,-30,0,1,1
5,1,-38,0,0,1
10,-2,-50,1,0,1
-21,8,9,0,1,0
-5,-7,-145,0,1,1
0,14,-32,0,1,1
-7,-2,113,-1,0,0
2,-7,-75,0,0,0
-8,-1,13,-1,1,1
12,2,-81,1,0,0
-3,-4,-201,0,1,1
-10,4,82,0,1,0
-13,-6,-4,0,1,0
-5,3,17,1,0,0
5,-3,-17,-1,0,1
-10,5,65,0,0,0
-10,0,29,0,0,0
-13,-2,-28,0,1,1
13,-3,-58,0,1,1
0,-12,-43,0,0,0
-5,0,7,0,1,0
-3,9,44,0,1,0
-13,8,308,0,1,0
5,-11,-157,0,0,1
13,7,19,0,0,1
0,-7,-31,0,0,1
10,6,-1,0,1,0
-8,4,1,-1,0,0
-5,3,45,-1,1,0
10,-8,-4,0,1,0
5,3,10,0,0,1
-5,0,-117,0,0,0
-10,-10,35,0,1,1
2,-1,-97,0,1,1
0,1,22,0,1,0
0,1,-73,0,1,1
11,4,6,0,1,1
2,11,49,1,1,0
0,0,2,0,0,1
-2,0,2,0,1,0
-11,-2,57,0,0,0
3,6,3,0,1,1
-5,-3,-6,1,1,0
-8,3,-41,1,1,1
0,3,-15,0,1,0
15,-1,-26,1,1,0
13,7,-3,0,1,1
0,-1,-11,0,1,1
3,-2,7,0,1,1
-2,-3,65,-1,0,1
-2,-2,55,0,1,0
-23,-3,-142,0,1,0
5,9,34,-1,0,0
0,4,29,0,0,0
-10,-2,14,-1,1,1
11,4,-79,0,0,0
11,3,18,0,1,1
-15,3,60,0,1,0
23,1,-250,0,0,0
-8,1,74,0,0,0
2,-2,-38,0,1,1
-13,-10,-259,1,1,1
5,1,-8,0,0,1
5,4,-21,1,0,0
-2,-4,-28,0,1,1
5,-8,-63,0,1,1
8,3,-41,0,0,1
7,-1,-44,0,1,1
8,5,-53,-1,0,1
-10,-8,68,-1,0,1
21,-1,-34,1,0,0
8,-1,-74,0,0,1
6,7,81,0,0,0
-6,-5,3,0,0,1
8,-1,-33,0,0,1
0,2,-31,0,1,1
0,-11,567,0,0,1
-3,-3,-39,0,0,0
10,3,-17,0,0,0
-23,-3,6,0,0,0
-5,-1,20,0,0,0
5,2,-58,0,1,0
5,2,35,-1,0,0
13,1,8,0,0,1
-3,-3,49,-1,1,1
